Cr_number,DOXY_SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900494,1456,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900497,1457,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 =-4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900523,1458,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900524,1459,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900627,2139,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 =-4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900637,1459-375,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900869,2800-674,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900870,2801-675,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900871,2802-668,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900872,2803-669,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900873,2804-662,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900874,2807-667,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900879,2808-673,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900880,2809-665,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900881,2811-672,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900882,2810-676,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900883,2812-507,Sref=35.0,Spreset=0,Pcoef2=0.0025,Pcoef3=0.0328,B0=-6.24523e-3,B1 = -7.37614e-3, B2 = -1.03410e-2, B3 = -8.17083e-3, C0 = -4.88682e-7,D0 = 24.4543, D1 = -67.4509, D2 = -4.8489, D3 = -5.44e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4901134,1060,PhaseCoef0=1.262809E+00,PhaseCoef1=1.090451E+00,PhaseCoef2=0.000000E+00,PhaseCoef3=0.000000E+00,c00=5.276020E+03,c01=-1.783356E+02,c02=3.603367E+00,c03=-3.172573E-02,c10=-2.835152E+02,c11=8.539261E+00,c12=-1.707122E-01,c13=1.519272E-03,c20=6.146133E+00,c21=-1.629492E-01,c22=3.255790E-03,c23=-2.941464E-05,c30=-6.200037E-02,c31=1.436286E-03,c32=-2.908785E-05,c33=2.671883E-07,c40=2.392831E-04,c41=-4.792503E-06,c42=1.000596E-07,c43=-9.331836E-10,Sref=0.00E+00,Spreset=0.00E+00,Pcoef1=1.000000E-01,Pcoef2=2.200000E-04,Pcoef3=4.190000E-02,B0=-6.245230E-03,B1=-7.376140E-03,B2=-1.03410e-2,B3=-8.170830E-03,C0=-4.886820E-07,D0=2.445430E+01,D1=-6.745090E+01,D2=-4.8489,D3=-5.44e-4,,,,,,,,,,
4901135,1062,PhaseCoef0=1.283271E+00,PhaseCoef1=1.086662E+00,PhaseCoef2=0.000000E+00,PhaseCoef3=0.000000E+00,c00=5.276020E+03,c01=-1.783356E+02,c02=3.603367E+00,c03=-3.172573E-02,c10=-2.835152E+02,c11=8.539261E+00,c12=-1.707122E-01,c13=1.519272E-03,c20=6.146133E+00,c21=-1.629492E-01,c22=3.255790E-03,c23=-2.941464E-05,c30=-6.200037E-02,c31=1.436286E-03,c32=-2.908785E-05,c33=2.671883E-07,c40=2.392831E-04,c41=-4.792503E-06,c42=1.000596E-07,c43=-9.331836E-10,Sref=0.00E+00,Spreset=0.00E+00,Pcoef1=1.000000E-01,Pcoef2=2.200000E-04,Pcoef3=4.190000E-02,B0=-6.245230E-03,B1=-7.376140E-03,B2=-1.03410e-2,B3=-8.170830E-03,C0=-4.886820E-07,D0=2.445430E+01,D1=-6.745090E+01,D2=-4.8489,D3=-5.44e-4,,,,,,,,,,
4901136,1076,PhaseCoef0=3.004120E+00,PhaseCoef1=1.083430E+00,PhaseCoef2=0.000000E+00,PhaseCoef3=0.000000E+00,c00=5.276020E+03,c01=-1.783360E+02,c02=3.603370E+00,c03=-3.172570E-02,c10=-2.835150E+02,c11=8.539260E+00,c12=-1.707120E-01,c13=1.519270E-03,c20=6.146130E+00,c21=-1.629490E-01,c22=3.255790E-03,c23=-2.941460E-05,c30=-6.200040E-02,c31=1.436290E-03,c32=-2.908790E-05,c33=2.671880E-07,c40=2.392830E-04,c41=-4.792500E-06,c42=1.000600E-07,c43=-9.331840E-10,Sref=0.00E+00,Spreset=0.00E+00,Pcoef1=1.000000E-01,Pcoef2=2.200000E-04,Pcoef3=4.190000E-02,B0=-6.245230E-03,B1=-7.376140E-03,B2=-1.03410e-2,B3=-8.170830E-03,C0=-4.886820E-07,D0=2.445430E+01,D1=-6.745090E+01,D2=-4.8489,D3=-5.44e-4,,,,,,,,,,
4901137,1079,PhaseCoef0=4.168365E+00,PhaseCoef1=1.083413E+00,PhaseCoef2=0.000000E+00,PhaseCoef3=0.000000E+00,c00=5.276020E+03,c01=-1.783356E+02,c02=3.603367E+00,c03=-3.172573E-02,c10=-2.835152E+02,c11=8.539261E+00,c12=-1.707122E-01,c13=1.519272E-03,c20=6.146133E+00,c21=-1.629492E-01,c22=3.255790E-03,c23=-2.941464E-05,c30=-6.200037E-02,c31=1.436286E-03,c32=-2.908785E-05,c33=2.671883E-07,c40=2.392831E-04,c41=-4.792503E-06,c42=1.000596E-07,c43=-9.331836E-10,Sref=0.00E+00,Spreset=0.00E+00,Pcoef1=1.000000E-01,Pcoef2=2.200000E-04,Pcoef3=4.190000E-02,B0=-6.245230E-03,B1=-7.376140E-03,B2=-1.03410e-2,B3=-8.170830E-03,C0=-4.886820E-07,D0=2.445430E+01,D1=-6.745090E+01,D2=-4.8489,D3=-5.44e-4,,,,,,,,,,
4901139,1081,PhaseCoef0=3.684722E+00,PhaseCoef1=1.082330E+00,PhaseCoef2=0.000000E+00,PhaseCoef3=0.000000E+00,c00=5.276020E+03,c01=-1.783356E+02,c02=3.603367E+00,c03=-3.172573E-02,c10=-2.835152E+02,c11=8.539261E+00,c12=-1.707122E-01,c13=1.519272E-03,c20=6.146133E+00,c21=-1.629492E-01,c22=3.255790E-03,c23=-2.941464E-05,c30=-6.200037E-02,c31=1.436286E-03,c32=-2.908785E-05,c33=2.671883E-07,c40=2.392831E-04,c41=-4.792503E-06,c42=1.000596E-07,c43=-9.331836E-10,Sref=0.00E+00,Spreset=0.00E+00,Pcoef1=1.000000E-01,Pcoef2=2.200000E-04,Pcoef3=4.190000E-02,B0=-6.245230E-03,B1=-7.376140E-03,B2=-1.03410e-2,B3=-8.170830E-03,C0=-4.886820E-07,D0=2.445430E+01,D1=-6.745090E+01,D2=-4.8489,D3=-5.44e-4,,,,,,,,,,
