title:"Real-Time Physiological Correction Ratio between Fluorescence and Chlorophyll-a Dataset"
summary:"Dataset containing the climatological physiological correction ratio between fluorescence and chlorophyll-a, at global scale and on a regular 1�x1� grid."
institution:"Sorbonne Universite/CNRS"
source:"SOCA-based climatologies of fluorescence and light (Sauzede et al., 2016; Renosh et al., 2023; Sauzede et al., 2025)"
usage:"The fluorescence_chlorophyll_ratio value for a given (lat, lon) position (with lat in [-90, 90] and lon in [-180, 180[) is fluorescence_chlorophyll_ratio (latitude, longitude) using the nearest neighbor method: latitude=latitude_i such that |latitude_i - lat| is minimum and longitude=longitude_i such that |longitude_i - lon| is minimum. In case of equality, choose the smallest longitude or latitude value."
comment:"Values are unitless. Missing values are filled with -9999."
_FillValue:"-9999"
geospatial_bounds:"[-180.  -90.  179.   90.]"
geospatial_lat_min:"-90.0"
geospatial_lat_max:"90.0"
geospatial_lat_units:"degrees_north"
geospatial_lat_resolution:"1.0"
geospatial_lon_min:"-180.0"
geospatial_lon_max:"179.0"
geospatial_lon_units:"degrees_east"
geospatial_lon_resolution:"1.0"
history:"Version 2.0: Updated light climatology with updated SOCA-light model (Sauzede et al., 2025)"
Conventions:"CF-1.8"
license:"CC-BY-4.0"
date_created:"2026-03-31"
creator_name:"Raphaelle Sauzede"
creator_email:"raphaelle.sauzede@imev-mer.fr"
creator_url:"ORCID ID https://orcid.org/0000-0001-9992-5334"
acknowledgment:"This dataset was generated using E.U. Copernicus Marine Service Products, which are derived from OneArgo data collected and made freely available by the International Argo Program and its contributing national programs (https://argo.ucsd.edu, https://www.ocean-ops.org). The Argo Program is a component of the Global Ocean Observing System (GOOS)."
identifier_product_doi:"https://doi.org/10.17882/105732"
references:"Sauzede et al., 2016, https://doi.org/10.1002/2015JC011408; Renosh et al., 2023, https://doi.org/10.3390/rs15245663; Sauz�de et al., 2025, https://doi.org/10.48670/moi-00046; Sauz�de et al., 2025, https://doi.org/10.17882/105732"

latitude,longitude,fluorescence_chlorophyll_ratio,sd_fluorescence_chlorophyll_ratio
-90,-180,,
-90,-179,,
-90,-178,,
-90,-177,,
-90,-176,,
-90,-175,,
-90,-174,,
-90,-173,,
-90,-172,,
-90,-171,,
-90,-170,,
-90,-169,,
-90,-168,,
-90,-167,,
-90,-166,,
-90,-165,,
-90,-164,,
-90,-163,,
-90,-162,,
-90,-161,,
-90,-160,,
-90,-159,,
-90,-158,,
-90,-157,,
-90,-156,,
-90,-155,,
-90,-154,,
-90,-153,,
-90,-152,,
-90,-151,,
-90,-150,,
-90,-149,,
-90,-148,,
-90,-147,,
-90,-146,,
-90,-145,,
-90,-144,,
-90,-143,,
-90,-142,,
-90,-141,,
-90,-140,,
-90,-139,,
-90,-138,,
-90,-137,,
-90,-136,,
-90,-135,,
-90,-134,,
-90,-133,,
-90,-132,,
-90,-131,,
-90,-130,,
-90,-129,,
-90,-128,,
-90,-127,,
-90,-126,,
-90,-125,,
-90,-124,,
-90,-123,,
-90,-122,,
-90,-121,,
-90,-120,,
-90,-119,,
-90,-118,,
-90,-117,,
-90,-116,,
-90,-115,,
-90,-114,,
-90,-113,,
-90,-112,,
-90,-111,,
-90,-110,,
-90,-109,,
-90,-108,,
-90,-107,,
-90,-106,,
-90,-105,,
-90,-104,,
-90,-103,,
-90,-102,,
-90,-101,,
-90,-100,,
-90,-99,,
-90,-98,,
-90,-97,,
-90,-96,,
-90,-95,,
-90,-94,,
-90,-93,,
-90,-92,,
-90,-91,,
-90,-90,,
-90,-89,,
-90,-88,,
-90,-87,,
-90,-86,,
-90,-85,,
-90,-84,,
-90,-83,,
-90,-82,,
-90,-81,,
-90,-80,,
-90,-79,,
-90,-78,,
-90,-77,,
-90,-76,,
-90,-75,,
-90,-74,,
-90,-73,,
-90,-72,,
-90,-71,,
-90,-70,,
-90,-69,,
-90,-68,,
-90,-67,,
-90,-66,,
-90,-65,,
-90,-64,,
-90,-63,,
-90,-62,,
-90,-61,,
-90,-60,,
-90,-59,,
-90,-58,,
-90,-57,,
-90,-56,,
-90,-55,,
-90,-54,,
