wmo,gain,date
4900494,0.9903936453087161,2026-03-04
4900497,1.0280574883863098,2026-03-04
4900523,1.0418960014244405,2026-03-04
4900524,1.0504448761822376,2026-03-04
4900627,0.9976682931716991,2026-03-04
4900637,1.0681504610554682,2026-03-04
4900869,1.037711566077039,2026-03-04
4900870,1.0536523121417423,2026-03-04
4900871,1.0467465426640317,2026-03-04
4900872,1.0511272962863325,2026-03-04
4900873,1.0522881313720704,2026-03-04
4900874,1.0722896399450499,2026-03-04
4900879,1.0691952182201487,2026-03-04
4900880,1.0865687806087214,2026-03-04
4900881,1.043683837793593,2026-03-04
4900882,1.0455850619544553,2026-03-04
4900883,1.0017951280697215,2026-03-04
4901134,1.1171694242493053,2026-03-04
4901135,1.0881827509649644,2026-03-04
4901136,1.0779127455737239,2026-03-04
4901137,1.1093295947722899,2026-03-04
4901139,1.0962467966778875,2026-03-04
4901140,1.109799129102228,2026-03-04
4901141,1.0602829882237785,2026-03-04
4901142,1.0495778332881178,2026-03-04
4901779,1.0564436575886413,2026-03-04
4901780,1.0580099377103656,2026-03-04
4901781,0.96148515477871,2026-03-04
4901782,1.0476195918353846,2026-03-04
4901784,1.0575180536409619,2026-03-04
4901785,1.0476586995003119,2026-03-04
4901786,1.0876186294617365,2026-03-04
4901790,1.114713173259292,2026-03-04
4901791,1.0442837208928626,2026-03-04
4902383,1.0379415830208618,2026-03-04
4902384,1.0432879276044176,2026-03-04
4902386,1.0012161944759117,2026-03-04
4902390,1.045316242046146,2026-03-04
4902409,1.057684921386942,2026-03-04
4902410,1.052205640053123,2026-03-04
4902414,1.0383568767205706,2026-03-04
4902480,1.828164707473683,2026-03-04
4902481,1.0400573777605004,2026-03-04
4902549,1.051657176568744,2026-03-04
4902550,1.0813566860619046,2026-03-04
4902551,1.0630040784949124,2026-03-04
4902552,1.0612605142328497,2026-03-04
4902553,1.0672402209069853,2026-03-04
4902554,1.0507124472758247,2026-03-04
4902555,1.0615534788503083,2026-03-04
4902576,1.0494793282277766,2026-03-04
4902577,1.059201487617536,2026-03-04
4902578,1.060379693215649,2026-03-04
4902579,1.0695822169614295,2026-03-04
4902580,1.0561341152612134,2026-03-04
4902582,1.074694846210791,2026-03-04
4902583,1.0371300460930475,2026-03-04
4902584,1.0600016429541474,2026-03-04
4902585,1.0833374784348915,2026-03-04
4902586,1.0373088419874352,2026-03-04
4902587,1.0536567716037748,2026-03-04
4902588,1.0293331136291533,2026-03-04
4902589,1.0612907526482196,2026-03-04
4902596,1.0365475621166222,2026-03-04
4902597,1.1064634967164193,2026-03-04
4902598,1.1114456261156602,2026-03-04
4902599,1.0834531531244092,2026-03-04
4902600,1.0929625851094427,2026-03-04
4902601,1.0865259925787658,2026-03-04
4902612,1.0793920497859886,2026-03-04
4902613,1.0819686182272377,2026-03-04
4902614,1.0761556958998848,2026-03-04
4902615,1.061215722954282,2026-03-04
4902616,1.0665409393902532,2026-03-04
4902620,1.0774928414690368,2026-03-04
4902622,1.0496128685425936,2026-03-04
4902623,1.065809724313578,2026-03-04
4902624,1.1002478917118677,2026-03-04
4902625,1.0800578881307168,2026-03-04
4902626,1.0652699700834465,2026-03-04
4902627,1.0427877259235112,2026-03-04
4902628,1.0371585669567616,2026-03-04
4902629,1.08027878201607,2026-03-04
4902631,1.0850296310178507,2026-03-04
4902633,1.08514137128511,2026-03-04
4902634,1.0734068132632417,2026-03-04
4902635,1.098206962548928,2026-03-04
4902636,1.0750499592346594,2026-03-04
4902637,1.0953220616193549,2026-03-04
4902638,1.116117690913075,2026-03-04
4902639,1.1210440530123025,2026-03-04
4902640,1.1153169493295356,2026-03-04
4902641,1.1017328729721383,2026-03-04
4902642,1.1200759807784266,2026-03-04
4902643,1.0965616693712854,2026-03-04
4902644,1.1072889763345801,2026-03-04
4902645,1.1195279843649826,2026-03-04
4902646,1.1314390336847004,2026-03-04
4902647,1.073377580333561,2026-03-04
4902650,1.0555579210259394,2026-03-04
4902652,1.0389061791331158,2026-03-04
4902660,1.0581926582391359,2026-03-04
4902662,1.0669260073468634,2026-03-04
4902663,1.068203046877911,2026-03-04
4902674,1.0676413513655365,2026-03-04
4902675,1.119219685314128,2026-03-04
4902676,1.059131476771928,2026-03-04
4902677,1.1005482190542224,2026-03-04
4902678,1.071120462111744,2026-03-04
4902679,1.1023631987871514,2026-03-04
4902680,1.0956395123715579,2026-03-04
4902681,1.1074915546742579,2026-03-04
4902683,1.1172491144208443,2026-03-04
4902684,1.058683545051094,2026-03-04
4902685,1.061558047281965,2026-03-04
4902686,1.0706917371987166,2026-03-04
4902687,1.0852991537705214,2026-03-04
4902688,1.0927488638740068,2026-03-04
4902690,1.100198824565456,2026-03-04
4902691,1.0941875123853786,2026-03-04
