wmo,gain,date
4900494,0.9915699349287534,2026-03-06
4900497,1.0281412904018759,2026-03-06
4900523,1.0414633232049286,2026-03-06
4900524,1.0490101796107503,2026-03-06
4900627,0.9986523210458491,2026-03-06
4900637,1.0112919939989342,2026-03-06
4900869,1.0386234458936985,2026-03-06
4900870,1.0491651436627574,2026-03-06
4900871,1.049653836475164,2026-03-06
4900872,1.0519794286992017,2026-03-06
4900873,1.0466646246854752,2026-03-06
4900874,1.0778115612801744,2026-03-06
4900879,1.0695187581857155,2026-03-06
4900880,1.0861309406476853,2026-03-06
4900881,1.0425989291130509,2026-03-06
4900882,1.045581620382123,2026-03-06
4900883,1.0067025343399423,2026-03-06
4901134,1.1091752839741136,2026-03-06
4901135,1.0864069032746189,2026-03-06
4901136,1.091183682721929,2026-03-06
4901137,1.106067262924606,2026-03-06
4901139,1.1081257996921003,2026-03-06
4901140,1.1109422635164967,2026-03-06
4901141,1.0593319190145032,2026-03-06
4901142,1.0530557473089357,2026-03-06
4901779,1.0576318771121493,2026-03-06
4901780,1.0582091745664184,2026-03-06
4901781,0.96148515477871,2026-03-06
4901782,1.046372756603866,2026-03-06
4901784,1.0542877567024336,2026-03-06
4901785,1.054870140019569,2026-03-06
4901786,1.0877697979868248,2026-03-06
4901790,1.1152606829771265,2026-03-06
4901791,1.0454853946138085,2026-03-06
4902383,1.0335494707582669,2026-03-06
4902384,1.0421234227400509,2026-03-06
4902386,1.0012161944759117,2026-03-06
4902390,1.049428653195942,2026-03-06
4902409,1.0567109556697334,2026-03-06
4902410,1.0520340406868403,2026-03-06
4902414,1.0341190201068502,2026-03-06
4902480,1.5102943970191776,2026-03-06
4902481,1.0477176714495202,2026-03-06
4902549,1.0537916941392598,2026-03-06
4902550,1.0835821938473282,2026-03-06
4902551,1.063343594154077,2026-03-06
4902552,1.0580289214946472,2026-03-06
4902553,1.0642744771493486,2026-03-06
4902554,1.0553740099395439,2026-03-06
4902555,1.060214545075893,2026-03-06
4902576,1.0592757146252152,2026-03-06
4902577,1.0764399104470432,2026-03-06
4902578,1.0735072437734696,2026-03-06
4902579,1.0701883741798222,2026-03-06
4902580,1.0556643556384624,2026-03-06
4902582,1.0759638004569245,2026-03-06
4902583,1.039236487926209,2026-03-06
4902584,1.0604898465186148,2026-03-06
4902585,1.0842652331152949,2026-03-06
4902586,1.0315816878117072,2026-03-06
4902587,1.04742961990948,2026-03-06
4902588,1.0303120521432017,2026-03-06
4902589,1.063666118435392,2026-03-06
4902596,1.072186854843309,2026-03-06
4902597,1.1041876114772058,2026-03-06
4902598,1.1196728894738228,2026-03-06
4902599,1.0956317092115608,2026-03-06
4902600,1.0975800831310816,2026-03-06
4902601,1.099750638216367,2026-03-06
4902612,1.0761453081170096,2026-03-06
4902613,1.08122640956301,2026-03-06
4902614,1.0747621131829106,2026-03-06
4902615,1.063244571610209,2026-03-06
4902616,1.0646982799556794,2026-03-06
4902620,1.077078713616418,2026-03-06
4902622,1.0636093940519185,2026-03-06
4902623,1.0675524365379887,2026-03-06
4902624,1.097970625321635,2026-03-06
4902625,1.0591973581715193,2026-03-06
4902626,1.0671090869278281,2026-03-06
4902627,1.0489893809169044,2026-03-06
4902628,1.0458369965649623,2026-03-06
4902629,1.0861401033051155,2026-03-06
4902631,1.0861272105098894,2026-03-06
4902633,1.0862458191868807,2026-03-06
4902634,1.075800005899049,2026-03-06
4902635,1.0781758280930782,2026-03-06
4902636,1.0744442168620512,2026-03-06
4902637,1.082075274225748,2026-03-06
4902638,1.1198950513156176,2026-03-06
4902639,1.1194539032022686,2026-03-06
4902640,1.116324952231177,2026-03-06
4902641,1.1012510233501636,2026-03-06
4902642,1.1187072876356976,2026-03-06
4902643,1.096892665603608,2026-03-06
4902644,1.1049274732274839,2026-03-06
4902645,1.1209909683781585,2026-03-06
4902646,1.135954459214789,2026-03-06
4902647,1.071774095639297,2026-03-06
4902650,1.052767447757673,2026-03-06
4902652,1.0411079029874544,2026-03-06
4902660,1.0557068936965246,2026-03-06
4902662,1.062095855391514,2026-03-06
4902663,1.0646511766292859,2026-03-06
4902674,1.0705446267358503,2026-03-06
4902675,1.1172661369129346,2026-03-06
4902676,1.0805837813850439,2026-03-06
4902677,1.1011472431608649,2026-03-06
4902678,1.080701579581991,2026-03-06
4902679,1.1000914280261576,2026-03-06
4902680,1.09712353967601,2026-03-06
4902681,1.1103119282401663,2026-03-06
4902683,1.112011322917549,2026-03-06
4902684,1.0567198780003286,2026-03-06
4902685,1.058629673905182,2026-03-06
4902686,1.076850626360395,2026-03-06
4902687,1.0905856723150267,2026-03-06
4902688,1.0902625770269831,2026-03-06
4902690,1.1062847136364633,2026-03-06
4902691,1.0930126404128853,2026-03-06
